last_name, first_name,pitcher,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed
Guerra, Javy,457915,92.7,,,85.2,83.6,78.9,,
Osuna, Roberto,532077,96.8,95.8,92.0,88.3,84.5,83.1,,
Iglesias, Raisel,628452,95.4,95.4,,84.1,89.0,,,
Cishek, Steve,518553,90.5,90.5,,78.9,83.9,,,
Ramirez, Noe,598287,89.1,,,,84.2,77.7,,
Soto, Gregory,642397,96.0,95.3,,84.9,88.3,,,
Hughes, Jared,453172,92.7,91.1,,84.4,84.6,81.0,,
Soria, Joakim,465657,92.6,93.3,,81.5,87.6,73.0,,
Kennedy, Ian,453178,94.4,,91.3,,87.9,80.5,,
Givens, Mychal,571710,95.3,,,87.1,84.7,,,
Gant, John,607231,95.9,95.8,90.2,,83.1,77.1,,
Chapman, Aroldis,547973,98.0,100.2,,85.3,88.1,,,
Fry, Paul,643316,90.7,,,83.9,87.7,,,
Gsellman, Robert,607229,95.6,95.3,,90.5,87.2,81.3,,
Diaz, Edwin,621242,97.4,95.9,,89.5,,,,
Rogers, Taylor,573124,94.6,94.8,,82.8,,80.0,,
Jansen, Kenley,445276,93.1,,91.7,81.8,,,,
Conley, Adam,543045,95.3,,,86.1,86.5,83.0,,
Jimenez, Joe,641729,95.1,,,86.1,89.2,,,
Fry, Jace,605240,92.9,92.3,88.2,,86.1,78.4,,
Weaver, Luke,596133,93.8,96.0,87.5,,84.5,81.3,,
Osich, Josh,592612,94.4,94.4,89.3,77.9,84.0,,,
Ryan, Kyle,594986,89.8,89.2,87.3,,84.3,79.8,,
Harris, Will,501789,92.0,,91.2,,,81.3,,
Mengden, Daniel,596043,91.5,90.4,86.0,83.4,82.9,72.5,,
Garcia, Luis,472610,97.1,96.8,,85.2,,,86.7,
Britton, Zack,502154,,94.6,,80.5,,,,
Smith, Will,519293,92.6,,,81.6,87.0,77.1,,
Romo, Sergio,489265,86.4,86.1,,77.4,80.1,,,
Familia, Jeurys,544727,95.9,95.9,,88.1,,,92.2,
Perdomo, Luis,606131,95.1,94.2,,86.6,,,88.5,
Bummer, Aaron,607481,95.1,95.6,87.9,84.9,89.4,,,
Moronta, Reyes,606625,97.2,,,83.4,89.8,,,
Miller, Andrew,453192,92.4,94.3,,82.4,84.2,,,
Duffey, Tyler,608648,93.9,93.8,,83.7,86.0,75.9,,
Bettis, Chad,518452,93.0,93.1,88.7,,87.0,77.3,,
Kingham, Nick,592468,91.9,90.0,90.6,82.0,85.1,80.1,,
Rainey, Tanner,663432,97.9,,,87.4,91.0,,,
Martin, Brett,656685,94.0,93.6,,85.1,,80.9,,
Yates, Kirby,489446,93.5,,,85.2,,,86.3,
Parker, Blake,453284,91.2,,88.0,,,76.0,79.9,
Glasnow, Tyler,607192,97.0,,,,92.6,83.6,,
Covey, Dylan,592229,94.2,94.5,90.9,83.4,85.7,82.0,,
Brewer, Colten,605155,94.8,,93.2,88.2,89.3,81.9,,
Feliz, Michael,593140,95.1,,,81.8,86.1,,,
Bedrosian, Cam,592135,92.9,,,83.2,,,86.1,
Rondon, Hector,444468,96.7,96.5,,86.8,90.6,,,
Hill, Rich,448179,90.3,88.1,84.8,73.3,82.1,74.6,,
Albers, Matt,458006,93.2,92.7,,83.4,83.7,,,
Stephenson, Robert,596112,94.9,,,84.5,87.1,,,
Treinen, Blake,595014,97.0,96.5,93.2,88.5,,,,
Garcia, Yimi,554340,94.2,93.5,,86.9,87.3,83.2,,
Brach, Brad,542960,94.1,92.5,91.0,85.4,86.6,,,
Drake, Oliver,543118,93.5,,90.2,,,,84.1,
Greene, Shane,572888,93.9,92.5,87.6,80.2,85.4,,,
Alvarez, Jose,501625,91.4,91.4,87.0,83.3,82.0,81.6,,
Velazquez, Hector,584171,92.2,91.1,,83.0,85.9,76.9,,
Rodney, Fernando,407845,94.3,93.5,,86.4,82.8,,,
Brasier, Ryan,518489,96.1,96.1,,85.2,87.4,,,
Colome, Alex,517008,94.4,,90.4,,91.2,,,
Eickhoff, Jerad,595191,89.4,89.7,,83.8,,74.6,,
Roe, Chaz,475054,92.2,92.1,87.2,81.1,,74.8,,
Swanson, Erik,657024,92.7,,,85.3,85.8,,,
Claudio, Alex,592222,85.5,85.6,,76.6,73.3,69.9,,
Wittgren, Nick,621295,92.3,,,83.7,85.6,78.4,,
Straily, Dan,573185,90.2,91.3,,83.6,84.0,76.1,,
Buchholz, Clay,453329,89.7,89.2,84.4,,76.6,75.1,,
Erlin, Robbie,572362,90.7,90.5,,88.2,83.5,76.2,,
Vazquez, Felipe,553878,98.5,97.7,,86.8,88.5,82.5,,
Margevicius, Nick,676606,88.3,,,80.2,79.0,70.8,,
Trivino, Lou,642152,97.4,97.4,92.1,,87.6,79.8,,
Kelly, Joe,523260,97.5,98.3,,,87.7,87.4,,
Garrett, Amir,607237,95.8,95.1,,85.8,,,,
Banuelos, Manny,544365,92.0,91.4,,85.3,82.6,78.8,,
Webb, Tyler,643778,90.0,89.9,,,79.7,76.7,,
Hand, Brad,543272,92.7,91.9,,81.2,,,,
VerHagen, Drew,572403,93.8,92.9,,84.8,89.1,78.4,,
Harvey, Matt,518774,93.2,94.5,,87.2,85.7,81.4,,
Swarzak, Anthony,461872,93.4,92.4,,86.1,,,,
Wisler, Matt,605538,92.9,92.8,,83.5,,75.3,,
Hirano, Yoshihisa,673633,91.1,,,73.5,,,83.8,
Crick, Kyle,605195,95.3,94.9,,81.5,89.0,,,
Clippard, Tyler,461325,90.1,89.9,,,78.4,74.4,82.1,
Pressly, Ryan,519151,95.4,,,90.1,,82.8,,
Mayza, Tim,641835,93.6,94.3,,87.8,,,,
Poche, Colin,621363,92.9,,,,,83.8,83.2,
Alexander, Tyler,641302,90.6,90.7,,85.3,84.1,81.0,,
Gott, Trevor,641627,94.7,94.4,,86.0,89.0,81.1,,
Cole, Taylor,518566,93.2,,92.5,87.4,86.9,82.2,,
Ponce de Leon, Daniel,594965,93.4,,89.2,84.4,83.2,78.3,,
Herrera, Kelvin,516969,96.3,95.4,91.3,81.7,88.6,,,
Wingenter, Trey,622259,95.9,,,85.8,,,,
Gearrin, Cory,518715,91.0,91.3,,85.2,85.3,,,
McCarthy, Kevin,641838,88.9,91.1,,83.3,83.9,82.3,,
Guerrero, Tayron,594027,98.9,99.3,,87.3,,,,
Oberg, Scott,623184,94.3,95.2,,85.6,87.9,,,
McKay, Brendan,656713,93.7,,89.0,,86.4,81.7,,
Anderson, Justin,605121,94.6,94.7,,84.5,87.9,,,
McFarland, T.J.,519008,89.2,89.4,,80.9,82.0,,,
Chafin, Andrew,605177,93.6,93.8,,84.4,,,,
Diaz, Jairo,545064,97.3,96.8,,88.2,,,,
Burnes, Corbin,669203,95.2,95.7,92.6,87.9,90.8,80.9,,
Magill, Matt,543483,95.2,,94.6,88.4,89.7,85.9,,
Holmes, Clay,605280,94.0,94.3,,86.8,87.1,81.6,,
Kinley, Tyler,641755,94.9,,,88.5,,,,
